# TIME, VOLTAGE, LPM
0.00000000,5.50000000,-0.23255758
0.05000000,5.49802671,6.88021423
0.10000000,5.49211444,9.47557300
0.15000000,5.48228595,10.40165932
0.20000000,5.46857908,10.82391067
0.25000000,5.45104661,11.32172729
0.30000000,5.42975608,11.41987111
0.35000000,5.40478958,11.71235861
0.40000000,5.37624339,11.79628528
0.45000000,5.34422769,11.51510912
0.50000000,5.30886616,11.52147603
0.55000000,5.27029553,11.58636194
0.60000000,5.22866507,11.94018165
0.65000000,5.18413610,11.34315784
0.70000000,5.13688138,11.40932038
0.75000000,5.08708450,11.37069747
0.80000000,5.03493921,11.19528260
0.85000000,4.98064871,11.00182193
0.90000000,4.92442494,10.97387364
0.95000000,4.86648779,10.82451345
1.00000000,4.80706429,10.73897548
1.05000000,4.74638780,10.63146928
1.10000000,4.68469712,10.43712268
1.15000000,4.62223564,10.37206482
1.20000000,4.55925040,9.81349736
1.25000000,4.49599121,9.93930325
1.30000000,4.43270967,10.11920821
1.35000000,4.36965827,9.82400182
1.40000000,4.30708937,9.79108076
1.45000000,4.24525428,9.44251013
1.50000000,4.18440230,9.53625254
1.55000000,4.12477973,9.35510057
1.60000000,4.06662890,9.35787665
1.65000000,4.01018727,8.87274355
1.70000000,3.95568642,8.79685371
1.75000000,3.90335118,8.82392441
1.80000000,3.85339868,8.57816671
1.85000000,3.80603750,8.57300209
1.90000000,3.76146677,8.65945438
1.95000000,3.71987535,8.37401557
2.00000000,3.68144103,8.53381832
2.05000000,3.64632975,8.39635366
2.10000000,3.61469487,8.17812806
2.15000000,3.58667650,8.17339654
2.20000000,3.56240080,8.16834148
2.25000000,3.54197944,7.83476512
2.30000000,3.52550900,7.92534912
2.35000000,3.51307049,7.95374904
2.40000000,3.50472893,7.83542798
2.45000000,3.50053288,7.60355263
2.50000000,3.50051421,7.78539661
2.55000000,3.50468777,7.72171621
2.60000000,3.51305119,7.81639637
2.65000000,3.52558477,7.68605589
2.70000000,3.54225137,7.88646841
2.75000000,3.56299641,7.88400634
2.80000000,3.58774797,7.70156147
2.85000000,3.61641686,7.81165964
2.90000000,3.64889689,8.09441009
2.95000000,3.68506507,8.08535384
3.00000000,3.72478202,8.00830931
3.05000000,3.76789233,8.26429020
3.10000000,3.81422511,8.10390503
3.15000000,3.86359446,8.55374728
3.20000000,3.91580015,8.23571766
3.25000000,3.97062831,8.58777150
3.30000000,4.02785215,8.77354804
3.35000000,4.08723282,8.59539503
3.40000000,4.14852026,9.06221681
3.45000000,4.21145416,9.28852917
3.50000000,4.27576496,9.20741549
3.55000000,4.34117488,9.23923523
3.60000000,4.40739907,9.53296542
3.65000000,4.47414670,9.84705422
3.70000000,4.54112220,9.94893155
3.75000000,4.60802647,9.79494403
3.80000000,4.67455817,10.24647381
3.85000000,4.74041500,10.11142603
3.90000000,4.80529503,10.29046139
3.95000000,4.86889805,10.50396304
4.00000000,4.93092693,10.78746478
4.05000000,4.99108899,10.96662139
4.10000000,5.04909735,10.75843619
4.15000000,5.10467236,11.05117353
4.20000000,5.15754290,11.03503102
4.25000000,5.20744778,11.42230058
4.30000000,5.25413704,11.16998141
4.35000000,5.29737326,11.52279317
4.40000000,5.33693284,11.52900565
4.45000000,5.37260723,11.65856351
4.50000000,5.40420409,11.87234411
4.55000000,5.43154847,11.98375421
4.60000000,5.45448382,12.03894532
4.65000000,5.47287306,12.10248788
4.70000000,5.48659947,12.25029295
4.75000000,5.49556757,12.30882491
4.80000000,5.49970388,12.07996609
4.85000000,5.49895763,11.97271276
4.90000000,5.49330132,12.16609922
4.95000000,5.48273121,12.43587976
5.00000000,5.46726775,12.09980287
5.05000000,5.44695579,11.90751608
5.10000000,5.42186479,11.77262440
5.15000000,5.39208883,11.93752420
5.20000000,5.35774655,12.06004917
5.25000000,5.31898095,11.98125093
5.30000000,5.27595905,11.71146709
5.35000000,5.22887146,11.68217592
5.40000000,5.17793175,11.77498017
5.45000000,5.12337579,11.46736968
5.50000000,5.06546085,11.18267606
5.55000000,5.00446470,11.03018517
5.60000000,4.94068443,11.27611294
5.65000000,4.87443528,10.96276942
5.70000000,4.80604930,11.03253778
5.75000000,4.73587383,10.72603711
5.80000000,4.66426998,10.68394132
5.85000000,4.59161092,10.40076452
5.90000000,4.51828008,10.52717889
5.95000000,4.44466927,9.97476720
6.00000000,4.37117671,10.00571284
6.05000000,4.29820498,9.81513866
6.10000000,4.22615886,9.62707655
6.15000000,4.15544318,9.26787955
6.20000000,4.08646054,9.31018764
6.25000000,4.01960907,9.10372697
6.30000000,3.95528006,9.06847356
6.35000000,3.89385570,8.97672117
6.40000000,3.83570667,8.48738863
6.45000000,3.78118989,8.41862141
6.50000000,3.73064616,8.22713006
6.55000000,3.68439792,8.22794697
6.60000000,3.64274705,8.19756411
6.65000000,3.60597268,8.11599115
6.70000000,3.57432917,7.90945468
6.75000000,3.54804409,7.97444807
6.80000000,3.52731641,7.64307437
6.85000000,3.51231469,7.76589256
6.90000000,3.50317557,7.97165258
6.95000000,3.50000224,7.66593838
7.00000000,3.50286323,7.63134242
7.05000000,3.51179125,7.84544578
7.10000000,3.52678233,7.64330032
7.15000000,3.54779510,7.67848881
7.20000000,3.57475032,7.77631942
7.25000000,3.60753058,7.99391830
7.30000000,3.64598033,7.94561098
7.35000000,3.68990605,8.03475698
7.40000000,3.73907675,8.34476750
7.45000000,3.79322467,8.28731716
7.50000000,3.85204626,8.37524729
7.55000000,3.91520342,8.35170106
7.60000000,3.98232502,8.51800492
7.65000000,4.05300861,8.61680154
7.70000000,4.12682245,8.92979084
7.75000000,4.20330779,9.22685978
7.80000000,4.28198136,9.28949455
7.85000000,4.36233810,9.58670434
7.90000000,4.44385414,9.42452414
7.95000000,4.52598994,9.83023630
8.00000000,4.60819369,9.84558728
8.05000000,4.68990484,10.16015138
8.10000000,4.77055780,10.39426338
8.15000000,4.84958577,10.46566659
8.20000000,4.92642472,10.77138961
8.25000000,5.00051741,10.82663987
8.30000000,5.07131751,11.14951553
8.35000000,5.13829375,11.31189668
8.40000000,5.20093404,11.10464985
8.45000000,5.25874964,11.26040962
8.50000000,5.31127918,11.71083842
8.55000000,5.35809270,11.65861263
8.60000000,5.39879547,11.79339802
8.65000000,5.43303167,11.72295436
8.70000000,5.46048799,12.01537906
8.75000000,5.48089685,11.95981233
